txn_id,from_account,to_account,amount_inr,timestamp,reference
TXN-0004,ACC-DEMO-0101,ACC-DEMO-0105,12000,2025-06-14 09:00:00,supply invoice
TXN-0012,ACC-DEMO-0202,ACC-DEMO-0205,12000,2025-06-16 09:00:00,supply invoice
TXN-0016,ACC-DEMO-0205,ACC-DEMO-0201,2500,2025-06-16 09:00:00,supply invoice
TXN-0011,ACC-DEMO-0204,ACC-DEMO-0205,2500,2025-06-17 09:00:00,supply invoice
TXN-0001,ACC-DEMO-0103,ACC-DEMO-0105,12000,2025-06-21 09:00:00,supply invoice
TXN-0013,ACC-DEMO-0201,ACC-DEMO-0203,7200,2025-06-22 09:00:00,supply invoice
TXN-0030,ACC-DEMO-0901,ACC-DEMO-0302,9800,2025-06-22 09:00:00,advance
TXN-0022,ACC-DEMO-0303,ACC-DEMO-0301,2500,2025-06-23 09:00:00,supply invoice
TXN-0020,ACC-DEMO-0302,ACC-DEMO-0303,4000,2025-06-26 09:00:00,supply invoice
TXN-0010,ACC-DEMO-0201,ACC-DEMO-0205,7200,2025-06-27 09:00:00,supply invoice
TXN-0006,ACC-DEMO-0101,ACC-DEMO-0102,1500,2025-06-29 09:00:00,supply invoice
TXN-0008,ACC-DEMO-0103,ACC-DEMO-0102,2500,2025-07-02 09:00:00,supply invoice
TXN-0003,ACC-DEMO-0105,ACC-DEMO-0101,4000,2025-07-05 09:00:00,supply invoice
TXN-0005,ACC-DEMO-0103,ACC-DEMO-0105,1500,2025-07-09 09:00:00,supply invoice
TXN-0024,ACC-DEMO-0302,ACC-DEMO-0301,1500,2025-07-10 09:00:00,supply invoice
TXN-0031,ACC-DEMO-0104,ACC-DEMO-0101,,2025-07-10 09:00:00,amount missing in source
TXN-0019,ACC-DEMO-0302,ACC-DEMO-0303,7200,2025-07-13 09:00:00,supply invoice
TXN-0009,ACC-DEMO-0204,ACC-DEMO-0205,4000,2025-07-14 09:00:00,supply invoice
TXN-0015,ACC-DEMO-0205,ACC-DEMO-0202,1500,2025-07-17 09:00:00,supply invoice
TXN-0021,ACC-DEMO-0302,ACC-DEMO-0303,7200,2025-07-17 09:00:00,supply invoice
TXN-0018,ACC-DEMO-0301,ACC-DEMO-0303,2500,2025-07-19 09:00:00,supply invoice
TXN-0026,ACC-DEMO-0202,ACC-DEMO-0301,25000,2025-07-20 11:00:00,consolidated freight
TXN-0028,ACC-DEMO-0901,ACC-DEMO-0301,25000,2025-07-20 11:00:00,consolidated freight
TXN-0014,ACC-DEMO-0201,ACC-DEMO-0202,7200,2025-07-21 09:00:00,supply invoice
TXN-0029,ACC-DEMO-0303,ACC-DEMO-0301,25000,2025-07-21 11:00:00,consolidated freight
TXN-0002,ACC-DEMO-0101,ACC-DEMO-0104,12000,2025-07-22 09:00:00,supply invoice
TXN-0025,ACC-DEMO-0102,ACC-DEMO-0301,25000,2025-07-22 11:00:00,consolidated freight
TXN-0027,ACC-DEMO-0203,ACC-DEMO-0301,25000,2025-07-22 11:00:00,consolidated freight
TXN-0007,ACC-DEMO-0103,ACC-DEMO-0105,1500,2025-07-25 09:00:00,supply invoice
TXN-0017,ACC-DEMO-0302,ACC-DEMO-0301,12000,2025-07-25 09:00:00,supply invoice
TXN-0023,ACC-DEMO-0303,ACC-DEMO-0302,1500,2025-07-25 09:00:00,supply invoice
TXN-0032,ACC-NEW-5371,ACC-NEW-4527,613350,2025-07-21 21:00:00,INV-NEW
TXN-0033,ACC-NEW-3803,ACC-NEW-4733,117350,2025-07-24 19:00:00,INV-NEW
TXN-0034,ACC-NEW-4814,ACC-NEW-9689,353990,2025-08-06 16:00:00,INV-NEW
TXN-0035,ACC-NEW-1771,ACC-NEW-3591,362500,2025-07-06 21:00:00,INV-NEW
TXN-0036,ACC-NEW-6977,ACC-NEW-4657,274760,2025-08-07 17:00:00,INV-NEW
